DateID,ProductID,SupplierID,StockReceived,StockSold,StockOnHand
715,1,1,475,127,348
715,1,38,475,127,348
715,4,1,475,127,348
715,4,38,475,127,348
715,31,1,475,127,348
715,31,38,475,127,348
715,34,1,475,127,348
715,34,38,475,127,348
715,46,1,475,127,348
715,46,38,475,127,348
715,102,1,475,127,348
715,102,38,475,127,348
715,150,1,475,127,348
715,150,38,475,127,348
715,200,1,475,127,348
715,200,38,475,127,348
715,259,1,475,127,348
715,259,38,475,127,348
501,2,2,487,243,244
501,2,14,487,243,244
501,6,2,487,243,244
501,6,14,487,243,244
501,8,2,487,243,244
501,8,14,487,243,244
501,12,2,487,243,244
501,12,14,487,243,244
501,19,2,487,243,244
501,19,14,487,243,244
501,23,2,487,243,244
501,23,14,487,243,244
501,32,2,487,243,244
501,32,14,487,243,244
501,39,2,487,243,244
501,39,14,487,243,244
501,50,2,487,243,244
501,50,14,487,243,244
501,53,2,487,243,244
501,53,14,487,243,244
501,67,2,487,243,244
501,67,14,487,243,244
501,68,2,487,243,244
501,68,14,487,243,244
501,76,2,487,243,244
501,76,14,487,243,244
501,77,2,487,243,244
501,77,14,487,243,244
501,84,2,487,243,244
501,84,14,487,243,244
501,97,2,487,243,244
501,97,14,487,243,244
501,103,2,487,243,244
501,103,14,487,243,244
501,109,2,487,243,244
501,109,14,487,243,244
501,111,2,487,243,244
501,111,14,487,243,244
501,113,2,487,243,244
501,113,14,487,243,244
501,117,2,487,243,244
501,117,14,487,243,244
501,120,2,487,243,244
501,120,14,487,243,244
501,122,2,487,243,244
501,122,14,487,243,244
501,123,2,487,243,244
501,123,14,487,243,244
501,128,2,487,243,244
501,128,14,487,243,244
501,133,2,487,243,244
501,133,14,487,243,244
501,138,2,487,243,244
501,138,14,487,243,244
501,142,2,487,243,244
501,142,14,487,243,244
501,147,2,487,243,244
501,147,14,487,243,244
501,149,2,487,243,244
501,149,14,487,243,244
501,152,2,487,243,244
501,152,14,487,243,244
501,155,2,487,243,244
501,155,14,487,243,244
501,160,2,487,243,244
501,160,14,487,243,244
501,164,2,487,243,244
501,164,14,487,243,244
501,165,2,487,243,244
501,165,14,487,243,244
501,166,2,487,243,244
501,166,14,487,243,244
501,174,2,487,243,244
501,174,14,487,243,244
501,175,2,487,243,244
501,175,14,487,243,244
501,179,2,487,243,244
501,179,14,487,243,244
501,182,2,487,243,244
501,182,14,487,243,244
501,183,2,487,243,244
501,183,14,487,243,244
501,188,2,487,243,244
501,188,14,487,243,244
501,189,2,487,243,244
501,189,14,487,243,244
